Participant_ID,Session,Used_For_Classification,Maze_ID,time_taken,distance_traveled,endpoint_X,endpoint_Y,target_X,target_Y,distance_to_target,n_fixations,mean_fixation_time,fixation_std,fixation_locaion,n_fixations_2d,mean_fixation_time_2d,fixation_std_2d,fixation_locaion_2d,calibration_quality
PID16,1,True,3,27.9202688,0.685080151019563,-4.53390423068319,-11.6838783391044,-7.0,-10.0,2.98614711699664,30,0.72204219,1.10372393174862,1.49786713967566,31,0.631844558064516,0.0055186125277125,0.0173326867920471,
PID16,1,True,3,10.8788155,0.194505394269951,-6.86497800995345,-7.04015825614311,-7.0,-10.0,2.96291985826042,8,1.200929175,1.00441257773842,33.4261309354191,13,0.696731692307692,0.0051247714876814,0.0155492368633653,
PID17,1,True,1,5.2101113,0.277444888162019,6.1787183866691,-10.2480549976282,8.5,-8.5,2.90586383079472,6,0.536454816666667,1.18868394148423,79.8666174028568,6,0.51195085,0.0058143308271934,0.0153990208862156,0.991181832412874
PID17,1,True,1,7.8114743,0.318490783952187,5.53559500108427,-8.92141128675075,8.5,-8.5,2.99420848809789,9,0.550866033333334,1.21318546448526,108.739864005799,7,0.484084985714286,0.0049903157572185,0.0168845349279333,
PID17,1,True,1,3.3913169,0.170862381435804,5.74015418212704,-7.38514266300256,8.5,-8.5,2.97651739794813,4,0.518480575,1.04461680963289,139.228351636218,4,0.43830775,0.0066492089209971,0.0191749279830739,
PID17,1,True,1,3.0522579,0.181137868415379,8.3529077231095,-5.60035144573266,8.5,-8.5,2.90337697796643,2,0.9251388,1.21838374685072,200.524187290434,2,0.88933725,0.0017134424733493,0.0188747588530825,
PID17,1,True,1,4.8985653,0.222758065002025,5.60400149011717,-8.30950392670166,8.5,-8.5,2.90225707393154,6,0.532521383333333,0.973309858607193,56.8453460221188,5,0.55238234,0.0057472149061293,0.0117856396947606,
PID17,1,True,2,23.6259244,1.65875281275237,-11.0034992720615,4.23253017763108,-10.0,7.0,2.94379007518381,22,0.788101145454546,1.271212781887,199.695531792898,14,1.13150280714286,0.0018476331066187,0.0194042683279547,
PID17,1,True,2,5.2219642,0.275319904707316,-10.4183966368435,4.11501254829763,-10.0,7.0,2.91516866445186,5,0.66761012,1.1544085841686,330.064810197986,5,0.63301174,0.0038964477216767,0.0135836886165343,
PID17,1,True,2,3.9762549,0.185489977954597,-10.5189616096586,4.0463260865336,-10.0,7.0,2.99891826153887,2,1.1256065,1.05642956574239,30.7292576380717,2,0.9237631,0.0042919163731922,0.0197738263888334,
PID17,1,True,2,3.7579066,0.18203932003086,-7.25803644261125,8.03912429480518,-10.0,7.0,2.93225910350745,1,0.7931927,1.49011611938477e-08,349.154155852734,4,0.7081694,0.0034005093200485,0.017911373243105,
PID17,1,True,2,3.4910982,0.177858507266483,-7.16800991582606,6.19609340464989,-10.0,7.0,2.94388071275093,3,0.8819616,1.12682645908574,209.463887402374,3,0.856117666666667,0.0044359772223625,0.0110056608661751,
PID17,1,True,3,5.7918412,0.374046519945709,-4.05851171838768,-10.4754947326908,-7.0,-10.0,2.97967255779545,9,0.493544188888889,1.26374658491478,150.445064470921,6,0.434908166666667,0.0036986091415566,0.0169688959759261,
PID17,1,True,3,3.4815932,0.177757741427439,-4.791160961474,-8.13271144891398,-7.0,-10.0,2.89235828194458,4,0.4979776,1.29650391728294,10.1196208713546,4,0.546893725,0.0074853863227236,0.0119027557290453,
PID17,1,True,3,3.8312523,0.21031548765303,-9.24317870259553,-8.05060938851268,-7.0,-10.0,2.97186380036722,5,0.60389742,1.09617936580422,104.79129188369,4,0.63002105,0.0044500605811404,0.0181828270342643,
PID17,1,True,3,3.5474999,0.199084603985011,-4.66017798079259,-8.1426224361911,-7.0,-10.0,2.987409997993,4,0.468149175,1.00339362001445,58.119199295661,4,0.47674705,0.0067654761914683,0.0148426705493237,
PID17,1,True,3,3.2922036,0.186435544530796,-7.937983522449,-7.16801255585039,-7.0,-10.0,2.98328107495872,3,0.687444033333333,1.03791227800345,7.40690623740304,3,0.580394933333333,0.0052615248025519,0.0108833422085947,
PID18,1,True,1,25.2593393,1.38751543456596,11.2241745891236,-7.50260455313243,8.5,-8.5,2.90102134936279,26,0.452454003846154,1.32811461309697,243.791111128908,22,0.567179368181818,0.0052867019965429,0.0153348594596186,0.964302466868406
PID18,1,True,1,11.6068265,0.499596344022644,9.74806677604322,-11.1541379115927,8.5,-8.5,2.9329368781507,11,0.560870027272728,1.0215085268071,114.627632534036,9,0.690945411111111,0.0045969801270422,0.0178039980671179,
PID18,1,True,1,4.2381402,0.178780890819833,6.29293921932146,-10.4964086286473,8.5,-8.5,2.97603170382085,5,0.59872814,0.912336235922538,158.487484004449,5,0.53775744,0.0035776873021756,0.0127682766864171,
PID18,1,True,1,4.3965969,0.195594555653708,8.50240885503503,-5.56867660213058,8.5,-8.5,2.93132438762401,6,0.361703083333333,0.872215156931627,141.329419802549,6,0.495254516666667,0.0046110719232838,0.0155208141332552,
PID18,1,True,1,4.1232746,0.170721037536255,6.30097188917901,-6.48240427670246,8.5,-8.5,2.98436209848092,5,0.46500384,0.973208317765382,130.571860411748,6,0.496071216666667,0.0063021492937322,0.0124110839117733,
PID18,1,True,2,33.2164947,1.88214355740528,-11.57622998177,4.47482591339995,-10.0,7.0,2.97674404728843,30,0.6015425,1.3215679200893,166.967783076204,31,0.583657887096774,0.0043390292728005,0.0165365723113821,
PID18,1,True,2,3.6985869,0.185698380596876,-7.12077830069967,7.72668049413354,-10.0,7.0,2.96950873618449,4,0.404474,1.029457379214,316.939783815911,5,0.5382679,0.0029955541504484,0.0118492947616628,
PID18,1,True,2,4.705053,0.256340447072216,-12.0847986476808,4.94190456925139,-10.0,7.0,2.92952934845174,5,0.34390166,0.958385035202088,346.967439973945,4,0.640921,0.0042290442393864,0.0143644908435423,
PID18,1,True,2,3.694218,0.178637634527863,-7.31528208203119,5.72943475249939,-10.0,7.0,2.97019298147764,5,0.4225521,1.24088656216666,323.545511049501,3,0.742550933333333,0.0007863794979315,0.0175019868994453,
PID18,1,True,2,6.3744653,0.422165619431175,-8.18025162906091,9.33356571783818,-10.0,7.0,2.9592250831941,8,0.3688998375,0.693711782715119,337.755846013029,7,0.5231095,0.0035737126281436,0.0139981855664112,
PID18,1,True,3,34.7034634,2.19905652844812,-9.51886029068796,-11.4774634036096,-7.0,-10.0,2.92019781402055,29,0.562593068965518,1.23663981030819,333.373920620434,34,0.525439388235295,0.0034888040034653,0.0161473662037313,
PID18,1,True,3,5.7951583,0.314879565076987,-7.36388104550024,-7.05155874946295,-7.0,-10.0,2.97081053302678,6,0.32202115,1.02685308398493,67.8529918557373,5,0.38504728,0.0073022820728211,0.012089576098725,
PID18,1,True,3,4.3534663,0.173871613517128,-6.66393773769016,-7.10865039883912,-7.0,-10.0,2.91081438093912,5,0.5420153,0.896374352250751,96.5857926025043,5,0.51082102,0.0040550853828569,0.0132971126310307,
PID18,1,True,3,5.7572296,0.333492983330119,-4.11372316190125,-10.0836467218815,-7.0,-10.0,2.88748865975727,7,0.337242171428572,1.06435003972142,77.4041124299524,5,0.38388934,0.004987952028882,0.0166062036496222,
PID18,1,True,3,4.7893949,0.2849291776752,-4.12297235425301,-9.66338925228323,-7.0,-10.0,2.89665235571529,5,0.5253306,1.09787702307217,83.4017361407902,2,0.57430305,0.0053930882061115,0.0119624035700829,
PID19,1,True,1,6.668619,0.479238710508906,9.55503953039754,-11.2660828267414,8.5,-8.5,2.96045986547614,9,0.472030977777778,1.17608310808451,317.909355596298,6,0.990952983333333,0.0057298268360099,0.0181599152166971,0.997147719230341
PID19,1,True,1,4.2857729,0.249357730885253,5.53981011111385,-8.86868075052085,8.5,-8.5,2.98306045431004,3,0.992730466666667,1.29808461176487,337.437438239373,4,0.693372425,0.0066093787936301,0.0159103451026138,
PID19,1,True,1,4.4861584,0.316132650003191,6.77974585127073,-6.05594113896988,8.5,-8.5,2.9887619598088,6,0.5110003,1.17809070494928,149.529392914987,4,0.672776675,0.005112193694568,0.0189812648449277,
PID19,1,True,1,3.1266309,0.188896734508698,7.90955371694971,-5.60147491173409,8.5,-8.5,2.95805248440165,3,0.5429335,1.15050827969707,120.718022941717,3,0.5677937,0.0049385287653898,0.0156293868443756,
PID19,1,True,1,3.3160904,0.172276719682224,5.87964681175188,-7.35825564963901,8.5,-8.5,2.85829162136115,3,0.883006066666667,1.03298152824266,120.072354428219,3,0.922019533333333,0.0063967013669385,0.0101938983582628,
PID19,1,True,2,5.0770998,0.422750457635591,-10.1763645031811,9.97449522145776,-10.0,7.0,2.97971915798409,5,0.70166568,1.26271294750349,44.4379734176708,2,1.9487073,0.0007304773017437,0.017581820176143,
PID19,1,True,2,2.5843532,0.177869336983749,-7.5400244024545,8.63484072461451,-10.0,7.0,2.95367299059619,2,0.68035605,0.342942996378703,340.571650500487,3,0.720901066666667,0.0038611479029312,0.0139916436868962,
PID19,1,True,2,10.9723416,0.89412373641646,-12.2977325716629,5.12925922246894,-10.0,7.0,2.96297924859393,12,0.5233171,1.11994960117401,11.4009009095579,12,0.593698366666666,0.0037423728917393,0.0171226693491797,
PID19,1,True,2,4.1527887,0.279320992797221,-11.0040852771616,9.76869572128023,-10.0,7.0,2.94514231249496,3,0.533829733333333,0.800753344904051,17.4997823622706,4,0.736006725,0.0053117240770259,0.0215695386661444,
PID19,1,True,2,3.1295856,0.201810631847464,-7.1633446779193,7.8223042087518,-10.0,7.0,2.95343827225485,2,0.7506539,1.21226943186812,233.963420230787,4,0.460937225,0.0079491408076205,0.0174865225448963,
PID19,1,True,3,3.7134124,0.289447013627504,-7.02957253689512,-12.9781305525402,-7.0,-10.0,2.97827737507969,4,0.6352941,1.29376293474454,260.605923346393,3,0.976893266666667,0.0030542731465324,0.0169475441524783,
